Reviewer,Rating,Title,Date,Body,review_key_aspects,aspect_sentiments,adjective_review,ner_review,emotions_review,empathy_review,predicted_sentiment,actual_sentiment,computed_sentiment_score,computed_sentiment
Naba Kr Dey,3.0,Everage product,2022-04-11,it is not good  good night liquid gold flash is more powrrful then it,good good night liquid gold flash,"{'night': 'negative', 'liquid': 'negative', 'gold': 'negative', 'flash': 'negative'}",good good powrrful,,"[('admiration', 0.4244474470615387), ('disapproval', 0.25316235423088074), ('approval', 0.15712158381938934)]","[[{'label': 'sadness', 'score': 0.7820863127708435}, {'label': 'surprise', 'score': 0.12847740948200226}, {'label': 'neutral', 'score': 0.05641879513859749}, {'label': 'joy', 'score': 0.025811869651079178}, {'label': 'anger', 'score': 0.0038523823022842407}, {'label': 'fear', 'score': 0.0020743964705616236}, {'label': 'disgust', 'score': 0.0012788630556315184}]]",negative,neutral,-0.5875,negative
Nalinakhya Das,3.0,So so,2022-03-26,soso,soso,{'soso': 'neutral'},,,"[('neutral', 0.7006202936172485), ('anger', 0.08204347640275955), ('annoyance', 0.0704011395573616)]","[[{'label': 'neutral', 'score': 0.6802588701248169}, {'label': 'surprise', 'score': 0.15423716604709625}, {'label': 'sadness', 'score': 0.07556506991386414}, {'label': 'joy', 'score': 0.07162706553936005}, {'label': 'disgust', 'score': 0.007660235743969679}, {'label': 'anger', 'score': 0.006391208618879318}, {'label': 'fear', 'score': 0.004260380286723375}]]",neutral,neutral,0.0,neutral
HARI KUMAR,3.0,One pcs missing,2022-03-24,one pcs missing customer image customer image one person found this helpful,pc customer image customer image person,"{'pcs': 'positive', 'customer': 'positive', 'image': 'positive', 'person': 'positive'}",helpful,"('one', 'CARDINAL')","[('disappointment', 0.2729387879371643), ('neutral', 0.21575585007667542), ('sadness', 0.20248623192310333)]","[[{'label': 'neutral', 'score': 0.5296590328216553}, {'label': 'joy', 'score': 0.17855533957481384}, {'label': 'sadness', 'score': 0.17049551010131836}, {'label': 'surprise', 'score': 0.11298447102308273}, {'label': 'anger', 'score': 0.004707736428827047}, {'label': 'disgust', 'score': 0.0025345981121063232}, {'label': 'fear', 'score': 0.001063285511918366}]]",positive,neutral,0.2617,positive
vipan saini,3.0,Good 👍,2022-03-12,good product,good product,{'product': 'positive'},good,,"[('admiration', 0.6172888278961182), ('neutral', 0.16805608570575714), ('approval', 0.09166169166564941)]","[[{'label': 'neutral', 'score': 0.8036730289459229}, {'label': 'joy', 'score': 0.14797110855579376}, {'label': 'disgust', 'score': 0.018824240192770958}, {'label': 'sadness', 'score': 0.010956449434161186}, {'label': 'surprise', 'score': 0.010852250270545483}, {'label': 'anger', 'score': 0.006268120836466551}, {'label': 'fear', 'score': 0.0014547427417710423}]]",positive,neutral,0.4404,positive
Deepika,3.0,How dare the mosquito comes near to good night power active +?,2022-02-14,not very effective against mosquitos,mosquito,{'mosquitos': 'negative'},effective,,"[('neutral', 0.4052271842956543), ('disapproval', 0.3210010826587677), ('annoyance', 0.06770726293325424)]","[[{'label': 'sadness', 'score': 0.745449960231781}, {'label': 'neutral', 'score': 0.14700892567634583}, {'label': 'anger', 'score': 0.03936265781521797}, {'label': 'disgust', 'score': 0.024609867483377457}, {'label': 'surprise', 'score': 0.023618105798959732}, {'label': 'fear', 'score': 0.012587989680469036}, {'label': 'joy', 'score': 0.007362510077655315}]]",negative,neutral,-0.4158,negative
P.Harekrushna Reddy,3.0,"Not working, no use I have thrown out",2022-01-07,waste product,waste product,"{'waste': 'negative', 'product': 'negative'}",,,"[('neutral', 0.4251805543899536), ('disapproval', 0.19644281268119812), ('annoyance', 0.11134467273950577)]","[[{'label': 'disgust', 'score': 0.5520952343940735}, {'label': 'neutral', 'score': 0.3215329349040985}, {'label': 'sadness', 'score': 0.04875846207141876}, {'label': 'anger', 'score': 0.039339687675237656}, {'label': 'surprise', 'score': 0.02429863065481186}, {'label': 'joy', 'score': 0.0083727166056633}, {'label': 'fear', 'score': 0.0056023746728897095}]]",negative,neutral,-0.4215,negative
Askarali Syedmagdoom,3.0,good,2021-12-18,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,neutral,0.4404,positive
Grs N.,3.0,Ok,2021-12-14,can use only for 15 days,day,{'days': 'neutral'},,"('15 days', 'DATE')","[('neutral', 0.8050557971000671), ('approval', 0.04818739742040634), ('realization', 0.018353931605815887)]","[[{'label': 'neutral', 'score': 0.8221725821495056}, {'label': 'sadness', 'score': 0.09720543771982193}, {'label': 'surprise', 'score': 0.050885528326034546}, {'label': 'joy', 'score': 0.01401627715677023}, {'label': 'anger', 'score': 0.008131544105708599}, {'label': 'disgust', 'score': 0.004673406016081572}, {'label': 'fear', 'score': 0.002915170043706894}]]",neutral,neutral,0.0,neutral
K. K. Pandey,3.0,Short supply.. Got 5 instead of 6 in pack,2021-12-03,i purchased a pack of 6 refills but got only 5 in the packet,pack refill packet,"{'pack': 'neutral', 'refills': 'neutral', 'packet': 'neutral'}",,"('6', 'CARDINAL')","[('neutral', 0.5223101377487183), ('approval', 0.11115378141403198), ('realization', 0.05441172048449516)]","[[{'label': 'sadness', 'score': 0.7213079929351807}, {'label': 'surprise', 'score': 0.16884873807430267}, {'label': 'neutral', 'score': 0.049203503876924515}, {'label': 'joy', 'score': 0.032611530274152756}, {'label': 'anger', 'score': 0.02356002666056156}, {'label': 'fear', 'score': 0.0033259857445955276}, {'label': 'disgust', 'score': 0.0011422199895605445}]]",neutral,neutral,0.0,neutral
Dabeer Warsi,3.0,Ok,2021-12-03,ok,,{},,,"[('neutral', 0.6164146065711975), ('approval', 0.18991433084011078), ('caring', 0.04196959733963013)]","[[{'label': 'neutral', 'score': 0.8115996718406677}, {'label': 'surprise', 'score': 0.05355851352214813}, {'label': 'sadness', 'score': 0.04313215613365173}, {'label': 'fear', 'score': 0.03343234956264496}, {'label': 'disgust', 'score': 0.02910882607102394}, {'label': 'anger', 'score': 0.023284118622541428}, {'label': 'joy', 'score': 0.005884390790015459}]]",positive,neutral,0.296,positive
Sayantan,3.0,The mosquitoes love it,2021-11-28,read the title,title,{'title': 'neutral'},,,"[('neutral', 0.8127272129058838), ('approval', 0.03825688362121582), ('admiration', 0.013736208900809288)]","[[{'label': 'neutral', 'score': 0.9233646392822266}, {'label': 'surprise', 'score': 0.04596251994371414}, {'label': 'sadness', 'score': 0.00924568623304367}, {'label': 'disgust', 'score': 0.008032703772187233}, {'label': 'joy', 'score': 0.006205751094967127}, {'label': 'anger', 'score': 0.004321655724197626}, {'label': 'fear', 'score': 0.0028670646715909243}]]",neutral,neutral,0.0,neutral
Subhash,3.0,Only For 🤑 Bakwas D Itam,2021-11-11,डुबरी कट है high में मच्छर नहीं भागता है ,high,"{'में': 'neutral', 'मच्छर': 'neutral'}",,,"[('disappointment', 0.17337575554847717), ('approval', 0.16154032945632935), ('optimism', 0.1490626484155655)]","[[{'label': 'fear', 'score': 0.8196187615394592}, {'label': 'anger', 'score': 0.06732936948537827}, {'label': 'neutral', 'score': 0.06668742746114731}, {'label': 'sadness', 'score': 0.016194099560379982}, {'label': 'disgust', 'score': 0.014456634409725666}, {'label': 'joy', 'score': 0.008635995909571648}, {'label': 'surprise', 'score': 0.007077725138515234}]]",neutral,neutral,0.0,neutral
SHIVA NAIK,3.0,Not recommend,2021-10-29,quality is pooramazon may sold duplicate productplss purchase offline,quality pooramazon productplss purchase offline,"{'quality': 'negative', 'pooramazon': 'negative', 'purchase': 'negative', 'offline': 'negative'}",duplicate,,"[('neutral', 0.2808300256729126), ('disappointment', 0.22796958684921265), ('disapproval', 0.11398863792419434)]","[[{'label': 'sadness', 'score': 0.7088711261749268}, {'label': 'neutral', 'score': 0.19301404058933258}, {'label': 'surprise', 'score': 0.06402162462472916}, {'label': 'anger', 'score': 0.014067307114601135}, {'label': 'disgust', 'score': 0.012610260397195816}, {'label': 'joy', 'score': 0.004122103098779917}, {'label': 'fear', 'score': 0.003293605986982584}]]",negative,neutral,-0.128,negative
Santosh K.,3.0,Good,2021-10-21,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,neutral,0.4404,positive
Debesh Pramanik,3.0,This is not the same Good Knight as which I used to buy from local stores,2021-10-20,a broken  replicant product of good knight liquid has been sent to me today by amazon it has no smell  seems a thick water based solution  a duplicate product is being sold by amazon i want to return it  please dont fool your customer  a strict action is must taken on it  customer image customer image one person found this helpful,broken replicant product good knight liquid amazon smell thick water base solution duplicate product amazon customer strict action customer image customer image person,"{'product': 'positive', 'knight': 'positive', 'liquid': 'positive', 'today': 'positive', 'smell': 'positive', 'water': 'positive', 'solution': 'positive', 'amazon': 'positive', 'customer': 'positive', 'action': 'positive', 'image': 'positive', 'person': 'positive'}",broken replicant good thick duplicate strict helpful,"('today', 'DATE')","[('neutral', 0.41362231969833374), ('annoyance', 0.10326168686151505), ('approval', 0.10196834802627563)]","[[{'label': 'sadness', 'score': 0.475845605134964}, {'label': 'surprise', 'score': 0.3865296542644501}, {'label': 'neutral', 'score': 0.05708290636539459}, {'label': 'joy', 'score': 0.041154731065034866}, {'label': 'anger', 'score': 0.027545228600502014}, {'label': 'fear', 'score': 0.005980331916362047}, {'label': 'disgust', 'score': 0.005861490964889526}]]",positive,neutral,0.861,positive
Placeholder,3.0,Not up to the mark,2021-10-19,not a quality product,quality product,"{'quality': 'neutral', 'product': 'neutral'}",,,"[('neutral', 0.42392870783805847), ('disapproval', 0.33850860595703125), ('approval', 0.06592749059200287)]","[[{'label': 'sadness', 'score': 0.8867909908294678}, {'label': 'neutral', 'score': 0.047609224915504456}, {'label': 'anger', 'score': 0.026102988049387932}, {'label': 'disgust', 'score': 0.021814076229929924}, {'label': 'surprise', 'score': 0.01234545186161995}, {'label': 'joy', 'score': 0.002698299242183566}, {'label': 'fear', 'score': 0.0026390424463897943}]]",neutral,neutral,0.0,neutral
subinoy SARKAR,3.0,Not so effective,2021-10-05,not recommended one person found this helpful,person,{'person': 'positive'},helpful,"('one', 'CARDINAL')","[('neutral', 0.4115864634513855), ('disapproval', 0.25965872406959534), ('approval', 0.07355357706546783)]","[[{'label': 'sadness', 'score': 0.4329257309436798}, {'label': 'neutral', 'score': 0.39211222529411316}, {'label': 'surprise', 'score': 0.06830602884292603}, {'label': 'joy', 'score': 0.059915244579315186}, {'label': 'disgust', 'score': 0.025672513991594315}, {'label': 'anger', 'score': 0.01632283255457878}, {'label': 'fear', 'score': 0.0047454084269702435}]]",positive,neutral,0.3935,positive
Bhullar,3.0,Good,2021-09-10,like,,{},,,"[('neutral', 0.6463608145713806), ('love', 0.12039575725793839), ('approval', 0.05619985982775688)]","[[{'label': 'neutral', 'score': 0.7879066467285156}, {'label': 'surprise', 'score': 0.07542122900485992}, {'label': 'disgust', 'score': 0.04258676990866661}, {'label': 'anger', 'score': 0.035074736922979355}, {'label': 'sadness', 'score': 0.03186953440308571}, {'label': 'fear', 'score': 0.014038942754268646}, {'label': 'joy', 'score': 0.013102235272526741}]]",positive,neutral,0.3612,positive
Begum Sen,3.0,Pets feel unwell of the scent,2021-09-09,pets feel unwell rare use,pet unwell rare use,"{'pets': 'neutral', 'use': 'neutral'}",unwell rare,,"[('neutral', 0.3743623197078705), ('disappointment', 0.12847371399402618), ('sadness', 0.11567111313343048)]","[[{'label': 'sadness', 'score': 0.9562101364135742}, {'label': 'neutral', 'score': 0.02262338437139988}, {'label': 'fear', 'score': 0.009950974956154823}, {'label': 'surprise', 'score': 0.006232347805052996}, {'label': 'joy', 'score': 0.0020798600744456053}, {'label': 'disgust', 'score': 0.002031640149652958}, {'label': 'anger', 'score': 0.000871639815159142}]]",neutral,neutral,0.0,neutral
Sam,3.0,same MRP price available in market,2021-09-08,same price available in market not discount price dont likethis price,price market discount price price,"{'price': 'neutral', 'market': 'neutral', 'discount': 'neutral'}",same available,,"[('neutral', 0.4402093291282654), ('disapproval', 0.292169988155365), ('approval', 0.07637989521026611)]","[[{'label': 'neutral', 'score': 0.4721248745918274}, {'label': 'sadness', 'score': 0.38072827458381653}, {'label': 'surprise', 'score': 0.1187213584780693}, {'label': 'joy', 'score': 0.008012845180928707}, {'label': 'anger', 'score': 0.007788240909576416}, {'label': 'disgust', 'score': 0.007727709133177996}, {'label': 'fear', 'score': 0.004896673373878002}]]",neutral,neutral,0.0,neutral
Sumit dahiya,3.0,Not to buy,2021-08-08,mrp is also same as offer price,mrp price,"{'mrp': 'neutral', 'price': 'neutral'}",same,,"[('neutral', 0.7339818477630615), ('approval', 0.11448406428098679), ('realization', 0.031921230256557465)]","[[{'label': 'neutral', 'score': 0.8507291674613953}, {'label': 'surprise', 'score': 0.11377745121717453}, {'label': 'sadness', 'score': 0.01741555891931057}, {'label': 'joy', 'score': 0.010562987066805363}, {'label': 'anger', 'score': 0.0037045481149107218}, {'label': 'disgust', 'score': 0.002243730239570141}, {'label': 'fear', 'score': 0.0015665466198697686}]]",neutral,neutral,0.0,neutral
CYRIL MATHEW,3.0,Nice,2021-08-02,valueable,,{},valueable,,"[('neutral', 0.3663859963417053), ('approval', 0.2651387155056), ('admiration', 0.13647185266017914)]","[[{'label': 'neutral', 'score': 0.7803471088409424}, {'label': 'surprise', 'score': 0.08220139890909195}, {'label': 'anger', 'score': 0.056116797029972076}, {'label': 'joy', 'score': 0.026754042133688927}, {'label': 'disgust', 'score': 0.023333342745900154}, {'label': 'sadness', 'score': 0.020719820633530617}, {'label': 'fear', 'score': 0.010527525097131729}]]",neutral,neutral,0.0,neutral
Kiran Manjunath,3.0,Leakage in Refill,2021-07-28,observed that one of the refills had developed a leak during usage very surprising ,refill leak usage,"{'refills': 'neutral', 'leak': 'neutral', 'usage': 'neutral'}",surprising,,"[('surprise', 0.46127820014953613), ('neutral', 0.2378612756729126), ('excitement', 0.06897329539060593)]","[[{'label': 'surprise', 'score': 0.9682855010032654}, {'label': 'fear', 'score': 0.010261713527143002}, {'label': 'neutral', 'score': 0.009693465195596218}, {'label': 'anger', 'score': 0.005749191623181105}, {'label': 'joy', 'score': 0.0025574807077646255}, {'label': 'disgust', 'score': 0.0021064605098217726}, {'label': 'sadness', 'score': 0.0013461420312523842}]]",neutral,neutral,-0.0018,neutral
R Venkataramani,3.0,Ok product,2021-07-28,ok product,ok product,{'product': 'positive'},ok,,"[('neutral', 0.6736051440238953), ('approval', 0.1310073882341385), ('realization', 0.02241624891757965)]","[[{'label': 'neutral', 'score': 0.8286104798316956}, {'label': 'surprise', 'score': 0.10967123508453369}, {'label': 'joy', 'score': 0.024218617007136345}, {'label': 'sadness', 'score': 0.023884624242782593}, {'label': 'anger', 'score': 0.006193910725414753}, {'label': 'disgust', 'score': 0.004456954076886177}, {'label': 'fear', 'score': 0.0029642353765666485}]]",positive,neutral,0.296,positive
